Question,Op1,Op2,Op2,Answer,Difficuly Level
Je bent een junior medewerker in een bedrijf dat IT-diensten en consultancy aanbiedt. Uw eenheid staat op het punt een nieuwe deal te sluiten maar uiteindelijk gaat er iets mis. Wat is het volgende?,U of iemand anders maakt een fout op het werk wat het bedrijf geld kost. Maar u weet zeker dat een manager de fout zal beoordelen en bespreken met u of met de werknemer die de fout heeft gemaakt: het doel is om te begrijpen wat er fout ging en om te leren hoe u deze problemen allemaal samen kunt oplossen.,Je hebt een grote fout gemaakt op het werk. Maar laten we ontspannen zijn: er gebeurt niets het bedrijf zal vroeg of laat herstellen. Iedereen maakt fouten en het kan gewoon gebeuren.,U heeft zojuist een fout gemaakt op het werk waardoor het bedrijf geld verliest. U bent er vrij zeker van dat u een formele waarschuwing krijgt want hoewel iedereen fouten maakt is het correct voor werknemers als ze falen op het werk: iedereen wordt geacht zijn eigen verantwoordelijkheid te nemen.,0,2
Je bent een technisch adviseur nog niet erg ervaren. Ook al spreek je constant met de klanten van je bedrijf je hebt nog nooit de leiding gehad over een deal. Wat gebeurt er als er niemand anders in de buurt is?,Een vaste klant van uw bedrijf vraagt om korting. Maar je bent een junior en er is niemand anders in de buurt. Uw klant zal dezelfde service elders zoeken en een concurrent van u vragen. Je weet wel dat junior medewerkers horen te groeien en verantwoordelijkheid te nemen. U keurt de korting dus snel goed en communiceert de beslissing later aan uw managers in het vertrouwen dat zij uw groeiende onafhankelijkheid in het bedrijf zullen waarderen.,Een vaste klant van uw bedrijf vraagt om korting. Maar je bent alleen en een junior medewerker er is niemand anders in de buurt. U weet wat uw klant elders voor dezelfde service zal zoeken als u een concurrent van u vraagt. Je keurt – heel zenuwachtig – de korting goed om zo te winnen op je concurrenten en je vaste klant blij te maken. Je hoopt maar dat je managers niet boos op je zijn.,Een vaste klant van uw bedrijf vraagt om korting. Maar je bent alleen en een junior medewerker er is niemand anders in de buurt. U weet wat uw klant elders voor dezelfde service zal zoeken als u een concurrent van u vraagt. Toch is het beter als je de klant gewoon uitstelt tot je manager terugkomt het is de bedoeling dat je nog geen beslisser bent.,0,1
Na je BA of zelfs daarvoor net na je middelbare schooldiploma ben je gaan werken. Je geniet van je verworven onafhankelijkheid en je bent ervan overtuigd dat je competenties direct op het veld opbouwt. Hoe dan ook...,Je bent erin geslaagd om een heel goede baan te krijgen die je leuk vindt. Maar je hebt nog steeds spijt: je wilt heel graag lessen volgen om een volledige graad te behalen. Cash is krap niet veel vrije tijd. Je denkt dat balanceren de sleutel is: je weet dat er tegenwoordig veel educatieve mogelijkheden zijn in verschillende formaten waaronder blended en online formaten. Voordat u geld investeert en opoffert waar u na uw harde werk gelukkig van wordt onderzoekt u wat het beste educatieve model voor u is.,Je bent erin geslaagd om een heel goede baan te krijgen die je leuk vindt. Maar je hebt nog steeds spijt: je wilt echt lessen volgen doorgaan met je opleiding om een volledige graad te behalen. Cash is krap niet veel vrije tijd. Maar je offert graag je hobby's vrienden en familie op het geld is tenslotte van jou. Je wilt echt investeren in jezelf en in je competenties.,Je bent erin geslaagd om een heel goede baan te krijgen die je leuk vindt. Maar je hebt nog steeds spijt: je wilt echt lessen volgen doorgaan met je opleiding om een volledige graad te behalen. Maar contant geld is krap je bent meestal moe na het werk en je wilt toch je vrije tijd besteden aan wat je het leukst vindt. Laten we school even vergeten.,0,2
De HR-afdeling van uw bedrijf houdt zich voortdurend bezig met interne monitoring en evaluaties. Rond december is het dus altijd tijd voor feedback en eventuele bonussen. Maar u weet dat het nauw verbonden is met de productiviteit van elke werknemer...,U bent zich ervan bewust dat beloningen voor werknemers en formele erkenning eraan komen. Je denkt dat het eigenlijk contraproductief is: het zal niet-bekroonde werknemers alleen maar demoraliseren.,U bent zich ervan bewust dat beloningen voor werknemers en formele erkenning eraan komen. Dat is geweldig: namen moeten openbaar zijn en dus de kwaliteit van de onderscheidingen. Het zal motiveren wie geen erkenning en bonus krijgt.,U bent zich ervan bewust dat beloningen voor werknemers en formele erkenning eraan komen. Dat is geweldig maar alleen op kwartaal- of zelfs jaarbasis. Het is geweldig om de prestaties van medewerkers te overzien en te identificeren en te belonen wie het beste heeft gedaan maar laten we de namen verborgen houden. Het is niet nodig om concurrentie over prijzen te creëren.,0,2
Uw bedrijf biedt diensten aan op het gebied van IT & Digitale ontwikkelingen. Er zijn verschillende units maar het bedrijf zelf is niet bepaald groot. Over innovatie en nieuwe werkwijzen gesproken mogelijk voor een nieuwe klant met specifieke verzoeken waar u niet zeker van bent...,U denkt dat het tijd is om op zoek te gaan naar innovatieve werkwijzen en processen voor uw bedrijf. Dus je kiest ervoor om consultants – ook externen – ernaar te vragen want daar hebben ze voor opgeleid en gestudeerd.,U denkt dat het tijd is om op zoek te gaan naar innovatieve werkwijzen en processen voor uw bedrijf. Je begint klanten te monitoren en hun feedback te verzamelen: wat is er beter dan de gedachten van de eindgebruiker?,U denkt dat het tijd is om op zoek te gaan naar innovatieve werkwijzen en processen voor uw bedrijf. Vervolgens stel je voor om personeelsbijeenkomsten te organiseren om feedback en gedachten van medewerkers te verzamelen.,0,2
Omdat uw bedrijf niet zo groot en niet zo klein is en omdat de concurrentie met uw directe concurrenten nogal wat is denken u en uw premier dat iedereen aan het werk moet zijn om nieuwe tools effectieve strategieën en innovatieve diensten te ontwikkelen. Dus...,Uw bedrijf moet op de hoogte zijn en de concurrentie in de gaten houden. U bent op pagina maar dankzij medewerkers wiens taak het specifiek is om te studeren en onderzoek te doen op het gebied van innovatie en concurrentievermogen. Het is een specifieke taak en vereist specifieke competenties. gebruikelijk in uw hotel.,Uw bedrijf moet op de hoogte zijn en de concurrentie in de gaten houden. U bent zeker van de kwaliteit van uw inspanningen u graaft voortdurend naar informatie. Innovatie en concurrentievermogen zijn immers iets dat elke werknemer zelf moet cultiveren.,Uw bedrijf moet op de hoogte zijn en de concurrentie in de gaten houden. Om dit te doen controleren een paar medewerkers af en toe wat er nieuw is en wat concurrenten zijn. U denkt dat het een goede manier is om innovatieve praktijken te controleren zonder daarvoor speciale middelen te hebben.,0,2
Alledaags scenario: je bent een junior resource maar je hebt lokaal een goed netwerk. Zo faciliteer je het contact tussen je leidinggevenden en nieuwe mogelijke opdrachtgevers. Wat gebeurt er nu?,Dankzij uw privécontacten heeft u een potentiële klant naar uw bedrijf gehaald. Bij het eerste gesprek vind je dat je erbij moet zijn zolang je specifieke competenties maar gevraagd mogen worden. Heeft niets met beleefdheid te maken.,Dankzij uw privécontacten heeft u een potentiële klant naar uw bedrijf gehaald. Zelfs als de contactpersoon van u is denkt u dat alleen zakelijke senioren de eerste bijeenkomst moeten bijwonen niet u.,Dankzij uw privécontacten heeft u een potentiële klant naar uw bedrijf gehaald. Je denkt dat je bij de eerste ontmoeting betrokken moet zijn zelfs als je een junior bent vanwege de beleefdheid op de werkvloer.,0,2
Alleen werken of in team werken? Je hebt soms het gevoel dat je nog sneller kunt leveren wat gevraagd wordt als je er alleen voor staat. Soms heb je het echt moeilijk omdat je het gevoel hebt dat je eenheid onderbezet is. Wat gebeurt er als er een nieuwe taak is?,Er komt iets nieuws aan: een nieuw project product dienst. Je denkt dat het ideale team bestaat uit . . . tot vier personen om zo een eenheid te creëren met een gelijke taakverdeling volgens de specifieke competenties van de medewerkers.,Er komt iets nieuws aan: een nieuw project product dienst. Je denkt dat het ideale team bestaat uit . . . zelfs tien mensen of meer. Met wekelijkse vervolgafspraken waarbij het hele kantoor betrokken kan zijn. Iedereen moet weten wat er gebeurt ook in andere eenheden.,Er komt iets nieuws aan: een nieuw project product dienst. Je denkt dat het ideale team bestaat uit . . . alleen een persoon. Het is beter om de hele taak aan een enkele medewerker toe te wijzen zodat deze er volledige controle over heeft.,0,1
Innovatie ontdekkingen onderzoeksgerichte activiteiten: wat denk je? Bedrijven kunnen achterop raken zonder innovatieve praktijken...,U vindt dat uw bedrijf een behoorlijk gebrek aan innovatieve producten heeft en een beetje achterop raakt. Managers stellen vervolgens zelf een duidelijke prioriteitenlijst voor het bedrijf op waarbij ze specifiek budget toewijzen aan onderzoek innovatie en concurrentievermogen bijvoorbeeld door nieuwe mensen aan te nemen.,U vindt dat uw bedrijf een behoorlijk gebrek aan innovatieve producten heeft en een beetje achterop raakt. Misschien moeten managers aan een paar medewerkers de taak toewijzen om het probleem te evalueren samen met hun eerdere taken.,U vindt dat uw bedrijf een behoorlijk gebrek aan innovatieve producten heeft en een beetje achterop raakt. Misschien kunnen werknemers een hackathon houden een maandelijks moment om te kijken wat de concurrenten zijn en wat er innovatief is in de markt.,0,2
Je wordt boos als iemand je vraagt iets te doen wat je duidelijk niet kunt. Visuele identiteiten presentaties zijn zeer belangrijke hulpmiddelen maar mensen denken vaak dat ze gemakkelijk te maken zijn. Op een dag vraagt je premier je om een mooie presentatie te geven van een dienst die je gaat presenteren aan een nieuwe klant...,Je bent geen grafisch ontwerper. Maar er komt een nieuwe aantrekkelijke presentatie van het bedrijf. Het is absoluut beter om wat geld uit te geven aan externe diensten contact op te nemen met een echte grafisch ontwerper: het product zal herbruikbaar en gepolijst zijn.,Je bent geen grafisch ontwerper. Toch zegt je manager dat je iets 'eenvoudigs' voor het bedrijf moet ontwikkelen daar hoef je niet veel tijd aan te besteden.,Je bent geen grafisch ontwerper. Maar er komt een nieuwe aantrekkelijke presentatie van het bedrijf. En waarschijnlijk meer in de toekomst samen met zo nu en dan andere kleine grafische producten. Het is naar uw mening tijd om een toegewijde medewerker in te huren. Het is tenslotte een conjuncturele kwestie!,0,1
