Question,Op1,Op2,Op2,Answer,Difficuly Level
You are a junior employee in a company which offers IT services and consultancy. Your unit is about to close a new deal but something in the end goes wrong. What's next?,You or someone else does a mistake at work costing business money. But you are sure a manager will review and discuss the mistake with you or with the employee who made the mistake: the goal is to understand what went wrong and to learn how to overcome those issues all together.,You did a significant mistake at work. But let’s be relaxed: nothing will happen the company will recover sooner or later. Everyone does mistakes and it can simply happen.,You just made a mistake at work which will make the company lose money. You are quite sure you will receive a formal warning because although everyone does mistakes it is correct to employees when they fail at work: everybody is supposed to take responsibility for itself.,0,2
You are a technical consultant not very experienced yet. Even though you constantly speak with your company's clients you have never been in charge of any deal yet. What happens if noone else is around?,A regular client of your company asks for a discount. But you are a junior and no one else is around. Your client will look for the very same service elsewhere asking a competitor of yours. You do know that junior employees are supposed to grow and to take responsibility. So you quickly approve the discount and communicate the decision to your managers later on confident they will value your growing independence in the company.,A regular client of your company asks for a discount. But you are alone and a junior employee no one else is around. You do know what your client will look for the very same service elsewhere asking a competitor of yours. You – very nervously – approve the discount so to win on your competitors making your regular client happy. You just hope your managers won’t be mad at you.,A regular client of your company asks for a discount. But you are alone and a junior employee no one else is around. You do know what your client will look for the very same service elsewhere asking a competitor of yours. Nevertheless it is better if you just put the customer off until your manager comes back you are not supposed to be a decision-maker yet.,0,1
After your BA degree or even before slightly after your high school diploma you started to work. You enjoy your acquired indipendence and you are confident you are building up competences directly on field. Nevertheless...,You managed to get a very good job that you like. But you still have a regret: you really want to take up classes in order to get a full degree. Cash is tight not a lot of free time. You think that balancing things is the key: you are aware that nowadays there are a lot of educative opportunities in various formats including blended and online formats. Before investing money and sacrificing what make you happy after your hard work you will investigate what’s the best educative model for you.,You managed to get a very good job that you like. But you still have a regret: you really want to take up classes to keep going with your education in order to get a full degree. Cash is tight not a lot of free time. But you happily sacrifice your hobbies friends and family the money is yours after all. You really want to invest on yourself and on your competences.,You managed to get a very good job that you like. But you still have a regret: you really want to take up classes to keep going with your education in order to get a full degree. But cash is tight you usually are tired after work and you still want to spend your free time doing what you like the most. Let’s forget about school for now.,0,2
Your company's HR unit constantly deals with internal monitoring and reviews. So around December is always time for feedback and possible bonuses. But you know it is deeply linked to each employee's productivity...,You are aware that employee awards and formal recognition are arriving. You think it actually counterproductive: it will just demoralize non-awarded employees.,You are aware that employee awards and formal recognition are arriving. That’s great: names should be public and so the quality of the awards. It will motivate who won’t get any recognition and bonus.,You are aware that employee awards and formal recognition are arriving. That’s great but only on a quarterly or even annual basis. It is great to overview employees’ performances and to identify and award who did the best but let’s keep the names hidden. There is no need to create competition over awards.,0,2
Your company offers services in the field of IT & Digital developments. There are several units but the company itself isn't exactly big. Talking about innovation and new practices possibly for a new client with specific requests you're not confident with...,You think it is time to look for innovative practices and processes for your company. So you choose to ask consultants – even external ones – about it because it is what they trained and studied for.,You think it is time to look for innovative practices and processes for your company. You start to monitor customers and to collect their feedback: what’s better than the final user’s thoughts?,You think it is time to look for innovative practices and processes for your company. You then propose to organize staff meetings to collect employees’ feedback and thoughts.,0,2
Being your company not so big nor so small being also the competition with your direct competitors quite a thing you and your PM think everybody must be at work in order to develop new tools effective strategies innovative services. So...,Your company must be on page keeping tabs on its competition. You are on page but thanks to employees whose task is specifically to study and research in the field of innovation and competitiveness. It is a dedicated task and requires specific competences. common practice in your hotel.,Your company must be on page keeping tabs on its competition. You are sure about the quality of your effort you dig for information all the time. Afterall innovation and competitiveness are something every employee must cultivate on its own.,Your company must be on page keeping tabs on its competition. In order to do so a couple of employees check on what is new and on competitors every so often. You think it is a good way to check on innovative practices without having dedicated resources.,0,2
Everyday scenario: you are a junior resource but you happen to have a good network locally. So you facilitate the contact between your managers and new possible clients. What happens next?,Thanks to your private contacts you brought a potential client to your company. You think you must be involved in the first meeting as long as your specific competences may be required. Nothing to do with politeness.,Thanks to your private contacts you brought a potential client to your company. Even if the contact is yours you think only business seniors must attend the first meeting not you.,Thanks to your private contacts you brought a potential client to your company. You think you should be involved in the first meeting even if you are a junior due to politeness in the workplace.,0,2
Working alone or working in team? You sometimes feel that you can be even faster to deliver what is requested if you were on your own. Sometimes you really struggle because you feel your unit is understaffed. What happens when there is a new task?,There is something new approaching: a new project product service. You think the ideal team is composed by . . . up to four people so to create a unit with equal tasks’ distribution according to employees’ specific competences.,There is something new approaching: a new project product service. You think the ideal team is composed by . . . even ten people or more. With weekly follow-up appointments which may involve the whole firm. Everyone should be aware of what is happening even in other units.,There is something new approaching: a new project product service. You think the ideal team is composed by . . . only one person. It is better to assign to a single employee the whole task so it will be able to have full control on it.,0,1
Innovation discoveries research-oriented activities: what do you think? Companies may fall behind without innovative practices...,You think your company quite lacks of innovative products and is slightly falling behind. Managers then set by themselves a clear company-priority-list assigning budget specifically to research innovation and competitiveness e.g hiring new people.,You think your company quite lacks of innovative products and is slightly falling behind. Maybe managers should assign to a couple of employees the task to evaluate the problem along with their previous tasks.,You think your company quite lacks of innovative products and is slightly falling behind. Maybe employees can have a hackathon a monthly-basis moment in order to check on competitors and on what’s innovative in the market.,0,2
You get angry when someone asks you to do something you clearly are not able to do. Visual identities presentations are very important tools but people often think they are easy to make. One day your PM asks you to do a fancy presentation of a service you're about to present to a new client...,You are not a graphic designer. But a new attractive presentation of the company is to be made. It is definitely better to spend a bit of money on external services contacting a proper graphic designer: the product will be reusable polished.,You are not a graphic designer. Yet your manager tells you to develop something “simple” for the company no need to invest a lot of time on it.,You are not a graphic designer. But a new attractive presentation of the company is to be made. And probably more in the future along with other small graphic products every so often. It is in your opinion time to hire a dedicated resource. It is a cyclical issue after all!,0,1
