Question,Op1,Op2,Op3,Answer,Difficuly Level
Είστε κατώτερος υπάλληλος σε μια εταιρεία που προσφέρει υπηρεσίες πληροφορικής και συμβουλευτικές υπηρεσίες. Η μονάδα σας πρόκειται να κλείσει μια νέα συμφωνία αλλά στο τέλος κάτι πάει στραβά. Τι θα γίνει στη συνέχεια;,Εσείς ή κάποιος άλλος κάνετε ένα λάθος στη δουλειά κοστίζοντας χρήματα στην επιχείρηση. Αλλά είστε σίγουροι ότι ένας διευθυντής θα επανεξετάσει και θα συζητήσει το λάθος μαζί σας ή με τον υπάλληλο που έκανε το λάθος: ο στόχος είναι να κατανοήσετε τι πήγε στραβά και να μάθετε πώς να ξεπεράσετε αυτά τα ζητήματα όλοι μαζί.,Κάνατε ένα σημαντικό λάθος στη δουλειά. Αλλά ας είμαστε χαλαροί: τίποτα δεν θα συμβεί η εταιρεία θα ανακάμψει αργά ή γρήγορα. Όλοι κάνουν λάθη και μπορεί απλά να συμβεί.,Απλώς κάνατε ένα λάθος στη δουλειά που θα κάνει την εταιρεία να χάσει χρήματα. Είστε βέβαιοι ότι θα λάβετε μια επίσημη προειδοποίηση γιατί αν και όλοι κάνουν λάθη είναι σωστό για τους υπαλλήλους όταν αποτυγχάνουν στην εργασία τους: ο καθένας υποτίθεται ότι αναλαμβάνει την ευθύνη για τον εαυτό του.,0,2
Είστε τεχνικός σύμβουλος όχι πολύ έμπειρος ακόμα. Παρόλο που μιλάτε συνεχώς με τους πελάτες της εταιρείας σας δεν έχετε αναλάβει ποτέ καμία συμφωνία. Τι θα συμβεί αν δεν υπάρχει κανένας άλλος;,Ένας τακτικός πελάτης της εταιρείας σας ζητά έκπτωση. Αλλά είστε αρχάριος και δεν υπάρχει κανένας άλλος διαθέσιμος. Ο πελάτης σας θα αναζητήσει την ίδια υπηρεσία αλλού ρωτώντας έναν ανταγωνιστή σας. Γνωρίζετε ότι οι κατώτεροι υπάλληλοι υποτίθεται ότι αναλαμβάνουν την ευθύνη. Έτσι εγκρίνετε γρήγορα την έκπτωση και κοινοποιείτε την απόφαση στους διευθυντές σας αργότερα με την πεποίθηση ότι θα εκτιμήσουν την αυξανόμενη ανεξαρτησία σας στην εταιρεία.,Ένας τακτικός πελάτης της εταιρείας σας ζητά έκπτωση. Εσείς όμως είστε μόνος και κατώτερος υπάλληλος δεν υπάρχει κανένας άλλος. Ξέρετε τι θα αναζητήσει ο πελάτης σας για την ίδια υπηρεσία αλλού ρωτώντας έναν ανταγωνιστή σας. Εσείς – πολύ νευρικά – εγκρίνετε την έκπτωση για να κερδίσετε τους ανταγωνιστές σας κάνοντας τον τακτικό σας πελάτη ευχαριστημένο. Απλώς ελπίζετε ότι οι διευθυντές σας δεν θα είναι θυμωμένοι μαζί σας.,Ένας τακτικός πελάτης της εταιρείας σας ζητά έκπτωση. Εσείς όμως είστε μόνος και κατώτερος υπάλληλος δεν υπάρχει κανένας άλλος. Ξέρετε τι θα αναζητήσει ο πελάτης σας για την ίδια υπηρεσία αλλού ρωτώντας έναν ανταγωνιστή σας. Ωστόσο είναι καλύτερα αν απλώς αναβάλλετε τον πελάτη έως ότου επιστρέψει ο διευθυντής σας δεν υποτίθεται ότι είστε ακόμη υπεύθυνος λήψης αποφάσεων.,0,1
Μετά το πτυχίο σας ή ακόμα και πριν λίγο μετά το απολυτήριο ξεκινήσατε να εργάζεστε. Απολαμβάνετε την νεοαποκτηθείσα ανεξαρτησία σας και είστε σίγουροι ότι αναπτύσσετε ικανότητες απευθείας στο γήπεδο. Παρ 'όλα αυτά...,Καταφέρατε να βρείτε μια πολύ καλή δουλειά που σας αρέσει. Αλλά εξακολουθείτε να μετανιώνετε: θέλετε πραγματικά να παρακολουθήσετε μαθήματα για να πάρετε ένα πλήρες πτυχίο. Τα χρήματα είναι περιορισμένα δεν υπάρχει πολύς ελεύθερος χρόνος. Πιστεύετε ότι η εξισορρόπηση των πραγμάτων είναι το κλειδί: γνωρίζετε ότι στις μέρες μας υπάρχουν πολλές εκπαιδευτικές ευκαιρίες σε διάφορες μορφές συμπεριλαμβανομένων μικτών και διαδικτυακών μορφών. Πριν επενδύσετε χρήματα και θυσιάσετε αυτό που σας κάνει ευτυχισμένο μετά τη σκληρή δουλειά σας θα διερευνήσετε ποιο είναι το καλύτερο εκπαιδευτικό μοντέλο για εσάς.,Καταφέρατε να βρείτε μια πολύ καλή δουλειά που σας αρέσει. Αλλά εξακολουθείτε να μετανιώνετε: θέλετε πραγματικά να παρακολουθήσετε μαθήματα να συνεχίσετε την εκπαίδευσή σας για να πάρετε ένα πλήρες πτυχίο. Τα χρήματα είναι περιορισμένα δεν υπάρχει πολύς ελεύθερος χρόνος. Αλλά θυσιάζοντας τα χόμπι τους φίλους και την οικογένειά σας τα χρήματα είναι τελικά αρκετά. Θέλετε πραγματικά να επενδύσετε στον εαυτό σας και στις ικανότητές σας.,Καταφέρατε να βρείτε μια πολύ καλή δουλειά που σας αρέσει. Αλλά εξακολουθείτε να μετανιώνετε: θέλετε πραγματικά να παρακολουθήσετε μαθήματα να συνεχίσετε την εκπαίδευσή σας για να πάρετε ένα πλήρες πτυχίο. Αλλά τα χρήματα είναι περιορισμένα συνήθως είστε κουρασμένοι μετά τη δουλειά και εξακολουθείτε να θέλετε να περάσετε τον ελεύθερο χρόνο σας κάνοντας αυτό που σας αρέσει περισσότερο. Ας ξεχάσουμε το σχολείο προς το παρόν.,0,2
Η μονάδα Ανθρώπινου Δυναμικού της εταιρείας σας ασχολείται συνεχώς με την εσωτερική παρακολούθηση και επιθεωρήσεις. Έτσι γύρω στον Δεκέμβριο είναι πάντα η ώρα για σχόλια και πιθανά μπόνους. Αλλά ξέρετε ότι είναι βαθιά συνδεδεμένο με την παραγωγικότητα κάθε υπαλλήλου...,Γνωρίζετε ότι έρχονται βραβεία εργαζομένων και επίσημη αναγνώριση. Πιστεύετε ότι είναι πραγματικά αντιπαραγωγικό: απλώς θα αποθαρρύνει τους μη βραβευμένους υπαλλήλους.,Γνωρίζετε ότι έρχονται βραβεία εργαζομένων και επίσημη αναγνώριση. Αυτό είναι υπέροχο: τα ονόματα πρέπει να είναι δημόσια και έτσι η ποιότητα των βραβείων. Θα δώσει κίνητρο σε όσους δεν θα λάβουν καμία αναγνώριση και μπόνους.,Γνωρίζετε ότι έρχονται βραβεία εργαζομένων και επίσημη αναγνώριση. Αυτό είναι υπέροχο αλλά μόνο σε τριμηνιαία ή ακόμη και ετήσια βάση. Είναι υπέροχο να κάνεις μια επισκόπηση των επιδόσεων των εργαζομένων και να προσδιορίζεις και να βραβεύεις ποιος έκανε το καλύτερο αλλά ας κρατήσουμε τα ονόματα κρυφά. Δεν υπάρχει λόγος να δημιουργείται ανταγωνισμός για τα βραβεία.,0,2
Η εταιρεία σας προσφέρει υπηρεσίες στον τομέα των IT & Ψηφιακών εξελίξεων. Υπάρχουν αρκετές μονάδες αλλά η ίδια η εταιρεία δεν είναι ακριβώς «μεγάλη». Μιλώντας για καινοτομία και νέες πρακτικές πιθανώς για έναν νέο πελάτη με συγκεκριμένα αιτήματα για τα οποία δεν είστε σίγουροι...,Νομίζετε ότι είναι καιρός να αναζητήσετε καινοτόμες πρακτικές και διαδικασίες για την εταιρεία σας. Επιλέγετε λοιπόν να ρωτήσετε συμβούλους –ακόμη και εξωτερικούς– γι’ αυτό γιατί είναι αυτό για το οποίο εκπαιδεύτηκαν και σπούδασαν.,Νομίζετε ότι είναι καιρός να αναζητήσετε καινοτόμες πρακτικές και διαδικασίες για την εταιρεία σας. Αρχίζετε να παρακολουθείτε τους πελάτες και να συλλέγετε τα σχόλιά τους: τι καλύτερο από τις σκέψεις του τελικού χρήστη;,Νομίζετε ότι είναι καιρός να αναζητήσετε καινοτόμες πρακτικές και διαδικασίες για την εταιρεία σας. Στη συνέχεια προτείνετε να οργανώσετε συναντήσεις προσωπικού για να συλλέξετε τα σχόλια και τις σκέψεις των εργαζομένων.,0,2
Καθώς η εταιρεία σας δεν είναι τόσο μεγάλη ούτε τόσο μικρή καθώς και ο ανταγωνισμός με τους άμεσους ανταγωνιστές σας εσείς και ο διευθυντής σας πιστεύετε ότι όλοι πρέπει να είναι στη δουλειά για να αναπτύξετε νέα εργαλεία αποτελεσματικές στρατηγικές καινοτόμες υπηρεσίες. Ετσι...,Η εταιρεία σας πρέπει να είναι ενήμερη παρακολουθώντας τον ανταγωνισμό της. Είστε ενήμερος αλλά χάρη στους υπαλλήλους των οποίων το καθήκον είναι ειδικά να μελετούν και να ερευνούν στον τομέα της καινοτομίας και της ανταγωνιστικότητας. Είναι μια ειδική εργασία και απαιτεί συγκεκριμένες ικανότητες. Κοινή πρακτική στο ξενοδοχείο σας.,Η εταιρεία σας πρέπει να είναι ενήμερη παρακολουθώντας τον ανταγωνισμό της. Είστε σίγουρος για την ποιότητα της προσπάθειάς σας ψάχνετε συνέχεια για πληροφορίες. Εξάλλου η καινοτομία και η ανταγωνιστικότητα είναι κάτι που κάθε εργαζόμενος πρέπει να καλλιεργήσει μόνος του.,Η εταιρεία σας πρέπει να είναι ενήμερη παρακολουθώντας τον ανταγωνισμό της. Για να γίνει αυτό μερικοί υπάλληλοι ελέγχουν κάθε τόσο τι νέο υπάρχει και τους ανταγωνιστές. Πιστεύετε ότι είναι ένας καλός τρόπος για να ελέγξετε τις καινοτόμες πρακτικές χωρίς να διαθέτετε ειδικούς πόρους.,0,2
Καθημερινό σενάριο: είστε ένας μικρός ερευνητής αλλά τυχαίνει να έχετε ένα καλό δίκτυο τοπικά. Έτσι διευκολύνετε την επαφή μεταξύ των διευθυντών σας και των νέων πιθανών πελατών. Τι συμβαίνει μετά;,Χάρη στις προσωπικές σας επαφές φέρατε έναν πιθανό πελάτη στην εταιρεία σας. Πιστεύετε ότι πρέπει να συμμετάσχετε στην πρώτη συνάντηση εφόσον απαιτούνται οι συγκεκριμένες ικανότητές σας. Καμία σχέση με την ευγένεια.,Χάρη στις προσωπικές σας επαφές φέρατε έναν πιθανό πελάτη στην εταιρεία σας. Ακόμα κι αν η επαφή είναι δική σας πιστεύετε ότι μόνο οι ανώτεροι επαγγελματίες πρέπει να παρευρεθούν στην πρώτη συνάντηση όχι εσείς.,Χάρη στις προσωπικές σας επαφές φέρατε έναν πιθανό πελάτη στην εταιρεία σας. Θεωρείτε ότι πρέπει να εμπλακείτε στην πρώτη συνάντηση ακόμα κι αν είστε αρχάριος λόγω ευγένειας στον εργασιακό χώρο.,0,2
Δουλεύοντας μόνος ή ομαδικά; Μερικές φορές νιώθετε ότι μπορείτε να είστε ακόμα πιο γρήγορος για να παραδώσετε αυτό που σας ζητήθηκε αν είσασταν μόνος. Μερικές φορές δυσκολεύεστε πραγματικά επειδή αισθάνεστε ότι η μονάδα σας είναι υποστελεχωμένη. Τι συμβαίνει όταν υπάρχει μια νέα εργασία;,Κάτι νέο πλησιάζει: ένα νέο έργο προϊόν υπηρεσία. Νομίζετε ότι η ιδανική ομάδα αποτελείται από . . . έως τέσσερα άτομα ώστε να δημιουργηθεί μια μονάδα με ίση κατανομή εργασιών σύμφωνα με τις ειδικές ικανότητες των εργαζομένων.,Κάτι νέο πλησιάζει: ένα νέο έργο προϊόν υπηρεσία. Νομίζετε ότι η ιδανική ομάδα αποτελείται από . . . ακόμη και δέκα άτομα ή περισσότερα. Με εβδομαδιαία ραντεβού παρακολούθησης που μπορεί να περιλαμβάνουν ολόκληρη την εταιρεία. Όλοι πρέπει να γνωρίζουν τι συμβαίνει ακόμα και σε άλλες μονάδες.,Κάτι νέο πλησιάζει: ένα νέο έργο προϊόν υπηρεσία. Νομίζετε ότι η ιδανική ομάδα αποτελείται από . . . μόνο ένα άτομο. Είναι καλύτερα να αναθέσετε σε έναν μόνο υπάλληλο ολόκληρη την εργασία ώστε να μπορεί να έχει τον πλήρη έλεγχό της.,0,1
Καινοτομία ανακαλύψεις δραστηριότητες προσανατολισμένες στην έρευνα: τι πιστεύετε; Οι εταιρείες μπορεί να μείνουν πίσω χωρίς καινοτόμες πρακτικές...,Πιστεύετε ότι η εταιρεία σας στερείται αρκετά καινοτόμων προϊόντων και υστερεί ελαφρώς. Στη συνέχεια τα διευθυντικά στελέχη ορίζουν από μόνα τους έναν σαφή κατάλογο προτεραιοτήτων για την εταιρεία αναθέτοντας προϋπολογισμό ειδικά για την έρευνα την καινοτομία και την ανταγωνιστικότητα π.χ. προσλαμβάνοντας νέους ανθρώπους.,Πιστεύετε ότι η εταιρεία σας στερείται αρκετά καινοτόμων προϊόντων και υστερεί ελαφρώς. Ίσως οι διευθυντές θα πρέπει να αναθέσουν σε μερικούς υπαλλήλους την εργασία να αξιολογήσουν το πρόβλημα μαζί με τις προηγούμενες εργασίες τους.,Πιστεύετε ότι η εταιρεία σας στερείται αρκετά καινοτόμων προϊόντων και υστερεί ελαφρώς. Ίσως οι εργαζόμενοι να έχουν ένα hackathon μια μηνιαία στιγμή για να ελέγξουν τους ανταγωνιστές και τι είναι καινοτόμο στην αγορά.,0,2
Θυμώνετε όταν κάποιος σας ζητά να κάνετε κάτι που προφανώς δεν μπορείτε να κάνετε. Οι οπτικές ταυτότητες οι παρουσιάσεις είναι πολύ σημαντικά εργαλεία αλλά οι άνθρωποι συχνά πιστεύουν ότι είναι «εύκολα στην κατασκευή». Μια μέρα ο διευθυντής σας σας ζητά να κάνετε μια φανταχτερή παρουσίαση μιας υπηρεσίας που πρόκειται να παρουσιάσετε σε έναν νέο πελάτη...,Δεν είστε γραφίστας. Όμως πρόκειται να γίνει μια νέα ελκυστική παρουσίαση της εταιρείας. Είναι σίγουρα καλύτερο να ξοδέψετε λίγα χρήματα σε εξωτερικές υπηρεσίες επικοινωνώντας με έναν κατάλληλο γραφίστα: το προϊόν θα είναι επαναχρησιμοποιήσιμο γυαλισμένο.,Δεν είστε γραφίστας. Ωστόσο ο διευθυντής σας σας λέει να αναπτύξετε κάτι «απλό» για την εταιρεία χωρίς να χρειάζεται να επενδύσετε πολύ χρόνο σε αυτό.,Δεν είστε γραφίστας. Όμως πρόκειται να γίνει μια νέα ελκυστική παρουσίαση της εταιρείας. Και πιθανώς περισσότερα στο μέλλον μαζί με άλλα μικρά προϊόντα γραφικών κάθε τόσο. Είναι κατά τη γνώμη σας η ώρα να προσλάβετε έναν ειδικό υπάλληλο. Είναι ένα κυκλικό θέμα τελικά!,0,1
