Question,Op1,Op2,Op2,Answer,Difficuly Level
Chcesz mieć własną firmę i wpadasz na genialny pomysł na usługę. Mocno wierzysz że to będzie sukces i masz gotowość by założyć firmę która będzie świadczyć tę usługę. Co robisz najpierw?,Zbadaj rynek pod kątem podobnych usług. Czy są jakieś firmy które świadczą podobne usługi? Czy dobrze sobie radzą? Może to sugerować że jest na to rynek i pomysł może być opłacalny.,Zakładasz firmę. Wierzysz tak mocno że nie chcesz czekać.,Załóż profesjonalną stronę www zaprojektuj logotyp i zatrudnij sprzedawcę. Pełny profesjonalizm!,0,2
Masz 15-letnie doświadczenie w HR. Ale masz już dość pracy dla kogoś i chcesz rozpocząć coś nowego i ekscytującego. Chcesz utrzymać poziom życia więc musi to być coś co da ci zarówno wolność jak i pieniądze. Co wybierasz?,Zacznij prowadzić szkolenia i warsztaty dla specjalistów HR. Wykorzystaj wszystkie zalety jakie daje Ci poprzednie doświadczenie.,Weź udział w kursie jogi i załóż własne studio jogi. Będziesz samodzielnie decydować na co poświęcasz czas!,Zrób sobie wolne i wyjedź na Daleki Wschód aby poznać kulturę i odnaleźć siebie oraz pomysł na coś co będzie miało wielkie znaczenie.,0,1
Masz produkt stronę internetową obecność w mediach społecznościowych. Piszesz ciekawe posty promujesz swój produkt ale nikt go nie kupuje. Co robisz?,Porozmawiaj ze swoją grupą docelową. Dowiedz się czego naprawdę potrzebują i za co są gotowi zapłacić. Zestaw ich potrzeby z cechami twojego produktu – gdzie popełniasz błąd?,Zatrudnij agencję reklamową która pomoże Ci stworzyć strategię komunikacji i wypromować twój produkt w całym kraju.,Daj 40% rabatu.,0,2
Jesteś doświadczonym menedżerem z chęcią rozwoju. Podejmujesz szkolenie z coachingu aby lepiej pomóc swojemu zespołowi w rozwoju i zostać coachem. Odkrywasz że pomaganie ludziom przez coaching to twoje powołanie i chcesz iść w tym kierunku. Ale twoim marzeniem jest budowanie świata bez ograniczeń społecznych w którym dziewczęta są zachęcane do nauk ścisłych a chłopcy mogą być tancerzami baletowymi. Ale boisz się że nie zarobisz na tym i nigdy nie będziesz w stanie utrzymać poziomu życia. Na co się decydujesz?,Szukasz rozwiązania typu „i – i”: jak mogę utrzymać styl życia i jednocześnie wpływać na młode umysły? Decydujesz się oddzielić swoje zajęcie od swojej misji i pozwolić pierwszemu sfinansować to drugie. Założysz firmę coachingową aby pomóc menedżerom rozwijać się i stworzysz program non-profit dla młodzieży.,Po długich rozmyślaniach stwierdzasz że nie możesz ukryć się przed swoim powołaniem. Rzucasz pracę i zaczynasz pracować w szkołach jako doradca,Po długich rozmyślaniach stwierdzasz że czujesz się za staro na tak dużą zmianę i nie chcesz zaczynać wszystkiego od nowa. Decydujesz się pozostać w pracy i od czasu do czasu robić sesje coachingowe jako hobby.,0,2
Chcesz zostać przedsiębiorcą i podczas badań natrafiasz na pojęcie propozycji wartości. Chcesz wiedzieć więcej więc czytasz dalej. Co to jest?,To jest to czego potrzebują klienci coś co łagodzi ich ból lub sprawia przyjemność a tym samym jest postrzegane przez klientów jako wartość za którą są gotowi zapłacić.,Jest to termin oznaczający zarówno produkty jak i usługi.,Jest to praktyka biznesowa w której firma dodaje coś do produktu który kupuje klient jako gratisowy prezent.,0,2
Jesteś początkującym przedsiębiorcą w branży edukacji pozaszkolnej. Wprowadzasz na rynek swój pierwszy produkt którym jest kurs on-line dotyczący rodzicielstwa. Dopiero wchodzisz na rynek nie masz bazy klientów ani środków do inwestowania. Co robisz aby rozkręcić sprzedaż?,Organizujesz webinarium na temat rodzicielstwa. Przeznaczasz trochę pieniędzy na reklamy na Facebooku aby promować wydarzenie. Zbierasz adresy e-mail. Robisz prezentację sprzedażową w trakcie webinarium a także piszesz maile do wszystkich zarejestrowanych.,Piszesz treści edukacyjne w mediach społecznościowych specjalistyczny blog itp. Budujeszj reputację. Wierzysz że gdy świat pozna cię jako eksperta klienci cię znajdą.,Mocno wierzysz w swój produkt a klienci z pewnością docenią jego wartość. Zamieszczasz w mediach społecznościowych informacje o rozpoczęciu kursu i czekasz na klientów.,0,2
Jesteś początkującym przedsiębiorcą. Dokształcasz się w zakresie przedsiębiorczości marketingu i sprzedaży. Masz pomysł na produkt: internetowe usługi doradztwa zawodowego. Zastanawiasz się kiedy jest odpowiedni czas na rozpoczęcie sprzedaży swoich usług.,Gdy masz szczegółowy opis oferty który możesz zaprezentować potencjalnym klientom. Tworzysz więc prostą stronę sprzedaży z przyciskiem płatności PayPal i zaczynasz rozmawiać z osobami ze swojego kręgu społecznościowego które mogą być zainteresowane. Jeśli kupią to będzie dowód na to że Twój pomysł jest opłacalny i w ten sposób uzyskasz środki na bardziej zaawansowane działania sprzedażowe.,Kiedy jesteś powszechnie uznawany za eksperta. Dajesz więc sobie 6 miesięcy na zbudowanie szerokiej rozpoznawalności poprzez artykuły content marketing blog podcast. Następnie masz zamiar przedstawić swoją ofertę.,Gdy masz profesjonalną stronę internetową ulotki i wizytówki. To tylko podstawy ale niezbędne do stworzenia wizerunku fachowości i jakości.,0,2
Twoja przyjaciółka jest bardzo introwertyczną osobą. Nie lubi rozmawiać z ludźmi i nienawidzi pracy w biurze. Podczas COVID pracowała w domu i bardzo się z tego cieszyła. Ale teraz firma oczekuje że pracownicy wrócą do pracy w biurze. Powiedziała że ​​jej marzeniem jest nie mieć szefa i być na swoim ale wątpi by jej się to udało. Jak myślisz jak powinna postąpić?,W następstwie COVID coraz więcej firm przeszło do internetu. Może zaprojektować swój biznes tak jak chce również opierając się wyłącznie na komunikacji pisemnej i pracując w domu. Introwertyczność nie oznacza że ​​nie może być przedsiębiorczynią oznacza jedynie że musi znaleźć własną drogę.,Musi być bardziej przebojowa co pomoże jej w biznesie. Może mogłaby wziąć udział w jakichś kursach? Skoro była tak szczęśliwa pracując w domu to czy nie jest to warte pewnego wysiłku i niedogodności?,Przedsiębiorczość jest dla ekstrawertyków - trzeba rozmawiać z ludźmi sprzedawać promować swoją ofertę. Czy to naprawdę dla niej? Fajnie marzyć ale powinna zmierzyć się z rzeczywistością.,0,1
Jesteś specjalistą od coachingu który prowadzi indywidualne sesje coachingowe dla mam które chcą wrócić na rynek pracy. Biznes ma się świetnie masz wiele klientek ale masz wrażenie że pracujesz przez cały czas. Męczy cię to. Czasami zastanawiasz się czy nie jesteś już na skraju wypalenia. Chcesz rozwinąć swój biznes ale nie masz gotowości do zatrudniania innych specjalistów. Jaka jest twoja najlepsza opcja?,Przestań sprzedawać swój czas za pieniądze - masz tylko tyle czasu ile masz. Uruchom program grupowy lub kurs on-line który nie będzie wymagał twojej obecności. Przyjmuj tylko tylu klientów 1 na 1 ilu da ci radość.,Przyjmij mniej klientów i spędź trochę czasu na odpoczynku. Zapomnij na razie o rozwijaniu firmy.,Zwiększ ceny. To ureguluje jednocześnie ilość pracy i przychód pozostawiając ci trochę wolnego czasu na odpoczynek.,0,2
Twoja firma pomaga menedżerom zmienić ścieżkę kariery. Musisz szybko zwiększyć sprzedaż. Rozważasz zainwestowanie więcej w reklamę rozpoczęcie promocji z 25% rabatem lub zaoferowanie poprzednim klientom nowej usługi. Jaka opcja byłaby najbardziej efektywna?,Zaoferuj poprzednim klientom nową usługę. Osoby które już ci zaufały i były zadowolone z usługi chętniej kupią od ciebie nowy produkt lub usługę. Koszt sprzedaży jest tutaj najniższy bo są już przekonani do ciebie.,Reklama. Koszt sprzedaży jest wysoki ale jednocześnie docierasz do wielu osób które być może w przyszłości kupią.,Promocja. Przychody od jednego klienta będą niższe ale może zwiększona liczba klientów to zrekompensuje i w sumie dochód wzrośnie.,0,1
