Question,Op1,Op2,Op2,Answer,Difficuly Level
Quieres ser empresario y se te ocurre una idea brillante para un servicio. Crees firmemente que será un éxito y estás dispuesto a crear una empresa que vaya a prestar ese servicio. ¿Qué es lo primero que haces?,Investiga el mercado de servicios similares. ¿Existen empresas que realicen un servicio similar? ¿Les va bien? Esto puede sugerir que existe un mercado para ello y que la idea puede ser viable.,Crear una empresa. Lo crees tan firmemente que no quieres esperar.,Crea una página web profesional de la empresa manda diseñar un logotipo y contrata a un vendedor. ¡Te sientes como un profesional!,0,2
Tienes 15 años de experiencia en RRHH. Pero estás cansado de la vida de empresa y quieres empezar algo nuevo y emocionante. Pero quieres mantener el estilo de vida al que estás acostumbrado así que tiene que ser algo que te dé libertad y dinero. ¿Qué eliges?,Empieza a hacer formaciones y talleres para profesionales de RRHH. Quieres explotar todas las ventajas que te da tu experiencia previa.,Haz un curso de yoga y crea tu propio estudio de yoga. ¡Serás un maestro de tu tiempo!,Tómate un año sabático y vete al Lejano Oriente para explorar la cultura y encontrarte a ti mismo y una idea para algo significativo.,0,1
Tienes un producto una página web y presencia en las redes sociales. Escribes posts atractivos promocionas tu producto pero nadie lo compra. ¿Qué haces?,Habla con tu grupo objetivo. Averigua lo que realmente necesita y lo que están dispuestos a pagar. Compara sus conclusiones con tu producto: ¿en qué te has equivocado?,Contrata una agencia de publicidad para que te ayude a crear una estrategia de comunicación y a promocionar tu producto en todo el país.,Ofrece una reducción del 40% del precio.,0,2
Eres un directivo con experiencia y con ganas de crecer. Te formas en coaching para ayudar a tu equipo a crecer y te conviertes en especialista en coaching. Descubres que ayudar a las personas mediante el coaching es tu vocación y piensas en dedicarte a ello. Pero tu sueño es construir un mundo sin fronteras sociales donde las niñas se animen a estudiar ciencias y los niños puedan ser bailarines de ballet. Pero temes que no haya mucho dinero y que nunca podrás mantener ese estilo de vida. ¿Qué decides?,Buscas una solución intermedia: ¿cómo puedo mantener mi estilo de vida e impactar en las mentes de los jóvenes al mismo tiempo? Decides separar tu vocación y tu misión y dejar que la primera financie la segunda. Creas un negocio de coaching para ayudar a los directivos a prosperar y creas un programa sin ánimo de lucro para los jóvenes.,Tras una larga deliberación decides que no puedes esconderte de tu vocación. Dejas el trabajo y empiezas a trabajar con las escuelas como consejero.,Lo piensas mucho y decides que eres demasiado mayor para un cambio tan grande y que no estás preparado para empezar de nuevo. Decides quedarte en tu puesto de trabajo y hacer sesiones de coaching de vez en cuando como hobby.,0,2
Quieres convertirte en empresario y durante la investigación te encuentras con el término de propuesta de valor. Quieres saber más así que investigas más. ¿De qué se trata?,Es lo que los clientes necesitan algo que alivia su dolor o les da placer y por tanto es percibido por los clientes como un valor por el que están dispuestos a pagar.,Es un término que engloba tanto los productos como los servicios que las empresas ofrecen en el mercado.,Es una práctica comercial en la que una empresa añade algo al producto que el cliente compra un regalo complementario.,0,2
Eres un empresario principiante en el campo de la educación. Vas a lanzar tu primer producto que es un curso online sobre la crianza de los hijos. No tienes reconocimiento ni base de clientes ni fondos para invertir. ¿Qué harías para impulsar tus ventas?,Organizas un seminario web sobre paternidad. Destinas un poco de dinero a los anuncios de Facebook para promocionar el evento. Recoges las direcciones de correo electrónico. Haces un discurso de ventas en el evento así como escribe a todos los inscritos.,Escribes contenidos educativos en las redes sociales el blog especializado etc. Construyes la reputación. Crees que cuando se te reconozca como experto los clientes te encontrarán.,Crees firmemente en tu producto y en que los clientes seguramente reconocerán tu valor. Publicas en las redes sociales información sobre el inicio y el contenido del curso y esperas a que los clientes se precipiten.,0,2
Eres un empresario principiante. Te has formado en materia de emprendimiento marketing y ventas. Tienes la idea del producto: servicios de asesoramiento profesional online. Te preguntas cuándo es el momento adecuado para empezar a vender tus servicios.,Cuando tengas una descripción detallada de la oferta que puedas presentar a los clientes potenciales crea una sencilla página de ventas con un botón de paypal y empieza a hablar con las personas de tu círculo social que puedan estar interesadas. Si compran eso demostrará que tu idea es viable y recoges el presupuesto para actividades de venta más avanzadas.,Cuando seas ampliamente reconocido como experto. Date 6 meses para construir un amplio reconocimiento mediante artículos marketing de contenidos blog podcast. Entonces vas a presentar tu oferta.,Cuando se tiene una página web profesional folletos y tarjetas de empresa. Es sólo lo básico pero necesario para crear una imagen de experiencia y calidad.,0,2
Tu amigo es una persona muy introvertida. No se le da muy bien hablar con la gente y odia trabajar en la oficina. Durante el COVID trabajaba desde casa y estaba muy contento. Pero ahora la empresa espera que los empleados vuelvan a trabajar en la oficina. Dice que su sueño es no tener jefe y estar sola pero duda que lo consiga. ¿Cómo crees que debería proceder?,A raíz de un COVID cada vez son más los negocios que se trasladan a la red. Puedes diseñar tu negocio como quieras incluso basándote únicamente en la comunicación escrita y trabajando desde casa. Ser introvertido no significa que no puedas ser emprendedor sólo significa que tienes que encontrar tu propio camino.,Tiene que ser más franca eso ayudará en su negocio. ¿Tal vez pueda hacer algunos cursos? Pero si es tan feliz trabajando desde casa ¿vale la pena el esfuerzo y las molestias?,Emprender es para extravertidos: tiene que hablar con la gente hacer ventas promocionar su oferta. ¿Es realmente para ella? Es bonito soñar pero debería enfrentarse a la realidad.,0,1
Eres un especialista en coaching que ofrece sesiones de coaching individuales para madres que quieren volver a trabajar. El negocio va muy bien tienes muchos clientes pero parece que trabajas todo el tiempo. Estás muy cansado. A veces te preguntas si estás al borde del agotamiento. Quieres ampliar tu negocio pero no estás dispuesto a contratar a otros especialistas. ¿Cuál es tu mejor opción?,Deja de vender tu tiempo a cambio de dinero: tienes poco tiempo para vender. Inicia un programa de grupo o un curso online que no requiera tu presencia. Toma sólo un número de clientes 1-a-1 que te haga feliz.,Acepta menos clientes y dedica algo de tiempo a relajarte. Olvídate de expandirte.,Aumenta los precios. Eso regulará la cantidad de trabajo y los ingresos al mismo tiempo dejándote algo de tiempo libre para recuperarte.,0,2
Tu empresa ayuda a los directivos a cambiar su trayectoria profesional. Necesitas aumentar las ventas rápidamente. Te planteas invertir más en un anuncio iniciar una promoción de ventas con un 25% de descuento u ofrecer a los clientes anteriores algún servicio nuevo ¿Qué opción sería la más eficiente?,Ofrezca a los clientes anteriores algún servicio nuevo. Las personas que ya han confiado en ti y han quedado satisfechas con el servicio son más propensas a comprarle un nuevo producto o servicio. El coste de las ventas es el más bajo en este caso porque ya están convencidos.,La publicidad. El coste de las ventas es alto pero al mismo tiempo llegas a mucha gente y quizá compren en el futuro.,Promoción de ventas. La rentabilidad por cliente será menor pero quizás el aumento del número de clientes lo compense y en resumen los ingresos aumenten,0,1
Eres un empleado junior en una empresa que ofrece servicios de TI y consultoría. Tu unidad está a punto de cerrar un nuevo acuerdo pero al final algo sale mal. ¿Qué es lo siguiente?,Tú o alguien más comete un error en el trabajo que le cuesta dinero a la empresa. Pero estás seguro de que un directivo revisará y discutirá el error contigo o con el empleado que lo cometió: el objetivo es entender qué salió mal y aprender a superar esos problemas en conjunto.,Has cometido un error importante en el trabajo. Pero estemos tranquilos: no pasará nada la empresa se recuperará tarde o temprano. Todo el mundo comete errores y simplemente puede ocurrir.,Acabas de cometer un error en el trabajo que hará que la empresa pierda dinero. Estás seguro de que recibirás una advertencia formal porque aunque todo el mundo comete errores es correcto que los empleados fallen en el trabajo: se supone que todo el mundo debe asumir su responsabilidad.,0,2
Eres un consultor técnico aún no muy experimentado. Aunque hablas constantemente con los clientes de tu empresa aún no has estado a cargo de ningún trato. ¿Qué pasa si no hay nadie más cerca?,Un cliente habitual de tu empresa te pide un descuento. Pero eres un empleado nuevo y no hay nadie más cerca. Tu cliente buscará el mismo servicio en otra parte pidiendo a un competidor tuyo. Sabes que los empleados junior deben crecer y asumir responsabilidades. Así que apruebas rápidamente el descuento y comunicas la decisión a tus jefes más adelante confiando en que valorarán tu creciente independencia en la empresa.,Un cliente habitual de tu empresa te pide un descuento. Pero estás solo y eres un empleado nuevo no hay nadie más cerca. Sabes que tu cliente buscará el mismo servicio en otra parte pidiendo a un competidor tuyo. Tú -muy nervioso- apruebas el descuento para ganar a tus competidores haciendo feliz a tu cliente habitual. Sólo esperas que tus jefes no se enfaden contigo.,Un cliente habitual de tu empresa te pide un descuento. Pero estás solo y eres un empleado nuevo no hay nadie más cerca. Sabes que tu cliente buscará el mismo servicio en otra parte pidiendo a un competidor tuyo. Sin embargo es mejor que dejes al cliente de lado hasta que vuelva tu jefe ya que se supone que todavía no eres una persona con capacidad de decisión.,0,1
Después de la licenciatura o incluso antes un poco después del bachillerato has empezado a trabajar. Disfrutas de la independencia adquirida y confías en que estás adquiriendo competencias directamente sobre el terreno. Sin embargo...,Has conseguido un buen trabajo que te gusta. Pero aún te queda un remordimiento: tienes muchas ganas de seguir estudiando para obtener un título completo. El dinero es escaso y no tienes mucho tiempo libre. Piensas que la clave es equilibrar las cosas: eres consciente de que hoy en día hay muchas oportunidades educativas en varios formatos incluidos los semipresenciales y los online. Antes de invertir dinero y sacrificar lo que te hace feliz después de tu duro trabajo vas a investigar cuál es el mejor modelo educativo para ti.,Has conseguido un buen trabajo que te gusta. Pero te queda un remordimiento: tienes muchas ganas de retomar las clases de seguir estudiando para conseguir un título completo. El dinero es escaso y no tienes mucho tiempo libre. Pero sacrificas gustosamente tus aficiones tus amigos y tu familia al fin y al cabo el dinero es tuyo. Quieres invertir en ti mismo y en tus competencias.,Has conseguido un buen trabajo que te gusta. Pero sigues lamentándote: te apetece mucho retomar las clases seguir con tu formación para conseguir un título completo. Pero el dinero es escaso sueles estar cansado después del trabajo y sigues queriendo pasar tu tiempo libre haciendo lo que más te gusta. Olvidémonos de los estudios por ahora.,0,2
